Subject,Criterion Score,Number of Grammar Errors,Number of Usage Errors,Number of Mechanic Errors,Number of Style Errors,Trait Level for Word Choice,Trait Level for Conventions,Trait Level for Fluency/Organization
T003_IH_DT,(4/6),0,2,5,10,Proficient,Proficient,Proficient
T003_IH_WB,Advisory (1/6),1,0,2,12,Proficient,Proficient,Developing
T005_IH_DT,Advisory (3/6),1,3,4,5,Proficient,Proficient,Proficient
T005_IH_WB,Advisory (2/6),0,1,8,8,Proficient,Proficient,Proficient
T006_IH_DT,Advisory (4/6),2,2,14,27,Proficient,Proficient,Proficient
T006_IH_WB,Advisory (1/6),0,0,4,37,Proficient,Proficient,Developing
T009_IH_DT,(4/6),0,1,3,8,Proficient,Advanced,Proficient
T009_IH_WB,Advisory (1/6),1,1,1,9,Proficient,Proficient,Developing
T011_IH_DT,Advisory (1/6),2,0,7,4,Proficient,Proficient,Developing
T011_IH_WB,Advisory (2/6),0,1,2,4,Proficient,Proficient,Proficient
T016_BH_DT,Advisory (4/6),1,1,12,10,Proficient,Proficient,Proficient
T016_BH_WB,Advisory (1/6),1,2,1,0,Proficient,Proficient,Proficient
T019_BH_DT,Advisory (2/6),3,2,9,19,Developing,Proficient,Proficient
T019_BH_WB,Advisory (1/6),1,0,1,17,Proficient,Proficient,Developing
T021_BH_DT,Advisory (3/6),0,2,29,7,Proficient,Proficient,Proficient
T021_BH_WB,Advisory (1/6),0,1,6,7,Proficient,Proficient,Developing
T031_IL_DT,Advisory (4/6),1,0,2,0,Proficient,Proficient,Proficient
T031_IL_WB,Advisory (2/6),0,0,0,13,Advanced,Proficient,Proficient
T032_IL_DT,Advisory (3/6),0,2,9,13,Proficient,Proficient,Proficient
T032_IL_WB,Advisory (1/6),0,1,4,19,Proficient,Proficient,Developing
T035_IL_DT,Advisory (3/6),0,0,9,26,Proficient,Proficient,Developing
T035_IL_WB,Advisory (1/6),0,0,6,0,Proficient,Proficient,Proficient
T037_IL_DT,Advisory (4/6),0,5,2,43,Proficient,Proficient,Proficient
T037_IL_WB,Advisory (1/6),0,0,1,6,Proficient,Proficient,Developing
T046_BL_DT,Advisory (2/6),4,6,12,7,Developing,Proficient,Proficient
T046_BL_WB,Advisory (1/6),0,0,6,0,Proficient,Proficient,Proficient
T047_BL_DT,Advisory (3/6),1,2,15,14,Proficient,Proficient,Proficient
T047_BL_WB,Advisory (1/6),1,1,3,5,Proficient,Proficient,Proficient
T051_BL_DT,Advisory (5/6),2,5,26,25,Proficient,Proficient,Proficient
T051_BL_WB,Advisory (2/6),0,0,5,4,Proficient,Proficient,Proficient
T061_IH_DT,Advisory (5/6),1,2,12,1,Proficient,Proficient,Proficient
T061_IH_WB,Advisory (2/6),0,0,0,6,Proficient,Proficient,Proficient
T062_IH_DT,Advisory (4/6),1,2,5,15,Proficient,Proficient,Proficient
T062_IH_WB,Advisory (1/6),1,1,1,5,Proficient,Proficient,Proficient
T063_IH_DT,Advisory (4/6),0,1,10,0,Proficient,Proficient,Proficient
T063_IH_WB,Advisory (1/6),1,0,3,7,Proficient,Proficient,Proficient
T064_IH_DT,Advisory (2/6),1,0,6,4,Proficient,Advanced,Proficient
T064_IH_WB,Advisory (1/6),1,0,0,16,Proficient,Proficient,Developing
T065_IH_DT,Advisory (4/6),0,1,7,0,Proficient,Proficient,Proficient
T065_IH_WB,Advisory (3/6),0,0,3,11,Proficient,Proficient,Proficient
T066_IH_DT,Advisory (3/6),2,2,6,0,Proficient,Proficient,Proficient
T066_IH_WB,Advisory (1/6),0,1,0,6,Proficient,Proficient,Proficient
T067_IH_DT,Error,0,0,0,0, , , 
T067_IH_WB,Advisory (1/6),0,1,0,17,Proficient,Proficient,Developing
T068_IH_DT,Advisory (5/6),1,1,24,5,Proficient,Proficient,Proficient
T068_IH_WB,Advisory (3/6),1,1,4,0,Proficient,Proficient,Proficient
T076_BH_DT,Advisory (2/6),3,3,8,11,Proficient,Advanced,Proficient
T076_BH_WB,Advisory (2/6),1,0,4,13,Proficient,Proficient,Proficient
T077_BH_DT,Advisory (4/6),1,4,10,0,Proficient,Proficient,Proficient
T077_BH_WB,Advisory (2/6),0,2,2,8,Proficient,Proficient,Proficient
T078_BH_DT,Advisory (1/6),1,4,1,6,Proficient,Proficient,Developing
T078_BH_WB,Advisory (1/6),0,1,2,20,Proficient,Proficient,Developing
T079_BH_DT,Advisory (4/6),0,0,4,12,Proficient,Proficient,Proficient
T079_BH_WB,Advisory (2/6),0,0,0,12,Proficient,Proficient,Proficient
T080_BH_DT,Advisory (4/6),0,4,11,22,Proficient,Proficient,Proficient
T080_BH_WB,Advisory (3/6),0,1,3,36,Proficient,Proficient,Developing
T082_BH_DT,Advisory (4/6),0,4,11,22,Proficient,Proficient,Proficient
T082_BH_WB,Advisory (3/6),0,1,3,36,Proficient,Proficient,Developing
T083_BH_DT,Advisory (4/6),0,5,8,15,Proficient,Advanced,Proficient
T083_BH_WB,Advisory (3/6),0,0,0,0,Proficient,Proficient,Proficient
T084_BH_DT,Advisory (5/6),1,8,8,0,Proficient,Proficient,Proficient
T084_BH_WB,Advisory (3/6),0,0,2,19,Proficient,Proficient,Proficient
T091_IL_DT,Advisory (5/6),0,6,24,12,Proficient,Proficient,Proficient
T091_IL_WB,Advisory (3/6),1,0,4,7,Proficient,Proficient,Proficient
T092_IL_DT,Advisory (4/6),1,4,14,35,Proficient,Proficient,Proficient
T092_IL_WB,Advisory (2/6),0,3,1,20,Proficient,Proficient,Developing
T093_IL_DT,Advisory (4/6),0,3,3,15,Proficient,Proficient,Proficient
T093_IL_WB,Advisory (2/6),0,0,3,16,Proficient,Advanced,Developing
T094_IL_DT,Advisory (1/6),3,4,7,14,Proficient,Proficient,Developing
T094_IL_WB,Advisory (2/6),0,0,1,3,Proficient,Proficient,Proficient
T096_IL_DT,Advisory (4/6),2,3,15,1,Proficient,Proficient,Proficient
T096_IL_WB,Advisory (2/6),0,1,6,0,Proficient,Proficient,Proficient
T097_IL_DT,Advisory (4/6),0,5,7,9,Proficient,Proficient,Proficient
T097_IL_WB,Advisory (3/6),0,1,0,0,Proficient,Proficient,Proficient
T098_IL_DT,Advisory (4/6),2,4,8,1,Proficient,Proficient,Proficient
T098_IL_WB,Advisory (2/6),0,0,0,4,Advanced,Proficient,Proficient
T099_IL_DT,Advisory (4/6),1,0,19,9,Proficient,Proficient,Proficient
T099_IL_WB,Advisory (2/6),0,2,5,12,Proficient,Proficient,Proficient
T106_BL_DT,Advisory (1/6),1,0,8,13,Proficient,Advanced,Developing
T106_BL_WB,Advisory (2/6),0,0,0,23,Proficient,Proficient,Developing
T107_BL_DT,Advisory (1/6),0,1,5,12,Proficient,Proficient,Developing
T107_BL_WB,Advisory (2/6),0,0,3,6,Proficient,Proficient,Developing
T108_BL_DT,Advisory (4/6),3,7,8,1,Proficient,Proficient,Proficient
T108_BL_WB,Advisory (2/6),1,2,3,5,Proficient,Proficient,Proficient
T109_BL_DT,Advisory (2/6),0,1,0,14,Proficient,Advanced,Developing
T109_BL_WB,Advisory (2/6),0,0,0,13,Advanced,Proficient,Developing
T110_BL_DT,Advisory (4/6),0,1,2,0,Proficient,Proficient,Proficient
T110_BL_WB,Advisory (3/6),0,0,0,4,Advanced,Proficient,Proficient
T112_BL_DT,Advisory (1/6),1,0,0,0,Proficient,Advanced,Developing
T112_BL_WB,Advisory (1/6),0,0,1,5,Proficient,Proficient,Developing
T113_BL_DT,Advisory (4/6),1,0,10,21,Proficient,Proficient,Proficient
T113_BL_WB,Advisory (2/6),0,0,4,15,Proficient,Proficient,Developing
T114_BL_DT,Advisory (5/6),1,1,12,1,Proficient,Proficient,Advanced
T114_BL_WB,Advisory (3/6),0,0,2,1,Proficient,Proficient,Proficient
T121_IH_DT,Advisory (5/6),0,2,8,1,Proficient,Advanced,Advanced
T121_IH_WB,Advisory (1/6),0,1,0,12,Proficient,Proficient,Developing
T122_IH_DT,Advisory (4/6),0,4,7,9,Proficient,Proficient,Proficient
T122_IH_WB,Advisory (2/6),0,0,2,0,Proficient,Proficient,Proficient
T124_IH_DT,Advisory (4/6),1,1,4,1,Proficient,Proficient,Proficient
T124_IH_WB,Advisory (2/6),0,0,0,6,Advanced,Proficient,Proficient
T126_IH_DT,Advisory (5/6),4,10,18,1,Proficient,Proficient,Advanced
T126_IH_WB,Advisory (2/6),2,1,4,4,Proficient,Proficient,Proficient
T127_IH_DT,Advisory (4/6),2,4,18,1,Proficient,Proficient,Proficient
T127_IH_WB,Advisory (2/6),0,1,7,26,Proficient,Proficient,Developing
T128_IH_DT,Advisory (3/6),0,0,8,0,Proficient,Proficient,Proficient
T128_IH_WB,Advisory (2/6),0,0,0,23,Advanced,Proficient,Developing
T130_IH_DT,Advisory (5/6),2,1,17,6,Proficient,Proficient,Proficient
T130_IH_WB,Advisory (3/6),2,0,2,1,Proficient,Proficient,Proficient
T132_IH_DT,(5/6),2,4,4,1,Proficient,Proficient,Advanced
T132_IH_WB,Advisory (3/6),0,1,4,12,Proficient,Proficient,Proficient
T136_BH_DT,Advisory (5/6),0,1,11,0,Proficient,Proficient,Advanced
T136_BH_WB,Advisory (2/6),1,1,1,0,Proficient,Proficient,Proficient
T138_BH_DT,Advisory (4/6),0,1,2,16,Proficient,Proficient,Proficient
T138_BH_WB,Advisory (3/6),1,1,1,10,Proficient,Proficient,Proficient
T139_BH_DT,Advisory (3/6),0,4,6,1,Proficient,Proficient,Proficient
T139_BH_WB,Advisory (2/6),1,1,1,4,Proficient,Proficient,Proficient
T140_BH_DT,Advisory (5/6),0,2,7,0,Proficient,Proficient,Advanced
T140_BH_WB,Advisory (2/6),2,3,2,5,Proficient,Proficient,Proficient
T141_BH_DT,Advisory (3/6),0,1,7,0,Proficient,Advanced,Proficient
T141_BH_WB,Advisory (3/6),0,0,3,13,Proficient,Proficient,Proficient
T144_BH_DT,Advisory (3/6),0,1,9,11,Proficient,Proficient,Proficient
T144_BH_WB,Advisory (3/6),0,0,3,19,Proficient,Proficient,Proficient
T145_BH_DT,Advisory (5/6),0,1,12,0,Proficient,Proficient,Advanced
T145_BH_WB,Advisory (2/6),0,0,0,7,Proficient,Proficient,Developing
T151_IL_DT,Advisory (4/6),3,0,8,31,Proficient,Proficient,Proficient
T151_IL_WB,Advisory (2/6),0,2,3,4,Proficient,Proficient,Proficient
T152_IL_DT,Advisory (5/6),3,2,12,12,Proficient,Proficient,Proficient
T152_IL_WB,Advisory (3/6),1,0,2,26,Proficient,Proficient,Proficient
T153_IL_DT,Advisory (3/6),6,0,24,1,Proficient,Advanced,Proficient
T153_IL_WB,Advisory (1/6),0,0,1,15,Proficient,Proficient,Developing
T154_IL_DT,Advisory (4/6),1,2,12,15,Proficient,Proficient,Proficient
T154_IL_WB,Advisory (3/6),1,1,1,0,Proficient,Proficient,Proficient
T155_IL_DT,Advisory (5/6),0,3,17,0,Proficient,Proficient,Advanced
T155_IL_WB,Advisory (1/6),3,0,0,4,Proficient,Proficient,Proficient
T156_IL_DT,Advisory (3/6),1,1,7,6,Proficient,Proficient,Proficient
T156_IL_WB,Advisory (1/6),0,1,0,4,Proficient,Proficient,Proficient
T157_IL_DT,Advisory (4/6),1,2,9,51,Proficient,Advanced,Proficient
T157_IL_WB,Advisory (2/6),2,2,4,0,Proficient,Advanced,Proficient
T158_IL_DT,Advisory (5/6),0,2,8,0,Proficient,Advanced,Advanced
T158_IL_WB,Advisory (3/6),0,0,1,0,Advanced,Advanced,Proficient
T160_IL_DT,Advisory (4/6),1,1,9,1,Proficient,Advanced,Proficient
T160_IL_WB,Advisory (2/6),0,0,3,0,Proficient,Proficient,Proficient
T162_IL_DT,Advisory (5/6),0,3,7,1,Proficient,Proficient,Advanced
T162_IL_WB,Advisory (2/6),0,1,0,6,Proficient,Proficient,Developing
T166_BL_DT,Advisory (4/6),2,1,10,0,Proficient,Proficient,Proficient
T166_BL_WB,Advisory (3/6),1,0,1,0,Proficient,Proficient,Proficient
T167_BL_DT,Advisory (3/6),1,1,2,5,Proficient,Proficient,Proficient
T167_BL_WB,Advisory (2/6),0,0,1,1,Proficient,Proficient,Proficient
T172_BL_DT,Advisory (3/6),0,0,3,6,Proficient,Proficient,Proficient
T172_BL_WB,Advisory (1/6),0,1,0,0,Proficient,Proficient,Proficient
T173_BL_DT,Advisory (6/6),0,0,10,19,Proficient,Proficient,Advanced
T173_BL_WB,Advisory (3/6),0,2,2,7,Proficient,Proficient,Proficient
T174_BL_DT,Advisory (4/6),0,2,8,11,Proficient,Proficient,Proficient
T174_BL_WB,Advisory (2/6),1,1,2,17,Proficient,Proficient,Developing
T175_BL_DT,Advisory (5/6),0,1,14,1,Proficient,Proficient,Proficient
T175_BL_WB,Advisory (2/6),1,1,2,12,Proficient,Proficient,Proficient
T176_BL_DT,Advisory (4/6),1,4,18,1,Proficient,Proficient,Advanced
T176_BL_WB,Advisory (1/6),0,2,6,8,Proficient,Proficient,Proficient
T178_BL_DT,Advisory (5/6),0,4,13,20,Proficient,Proficient,Proficient
T178_BL_WB,Advisory (2/6),0,2,0,4,Proficient,Proficient,Proficient
