"Subject","Condition","Session","CriterionScore","CharCount","WordCount","GrammarErrors","UsageErrors","MechanicErrors","StyleErrors","Key_No","GrammarErrorsRelative","MechanicErrorsRelative","UsageErrorsRelative","StyleErrorsRelative","DeleteKeyRelative"
"T003","IH","DT","4",2029,367,0,2,5,10,419,0,0.0136239782016349,0.00544959128065395,0.0272479564032698,0.206505667816658
"T003","IH","ST","1",694,126,1,0,2,12,62,0.00793650793650794,0.0158730158730159,0,0.0952380952380952,0.0893371757925072
"T005","IH","DT","3",1143,175,1,3,4,5,1235,0.00571428571428571,0.0228571428571429,0.0171428571428571,0.0285714285714286,1.08048993875766
"T005","IH","ST","2",871,146,0,1,8,8,191,0,0.0547945205479452,0.00684931506849315,0.0547945205479452,0.219288174512055
"T009","IH","DT","4",1485,226,0,1,3,8,893,0,0.0132743362831858,0.00442477876106195,0.0353982300884956,0.601346801346801
"T009","IH","ST","1",632,96,1,1,1,9,79,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.09375,0.125
"T011","IH","DT","1",576,93,2,0,7,4,654,0.021505376344086,0.0752688172043011,0,0.043010752688172,1.13541666666667
"T011","IH","ST","2",734,123,0,1,2,4,95,0,0.016260162601626,0.00813008130081301,0.032520325203252,0.129427792915531
"T016","BH","DT","4",1867,300,1,1,12,10,708,0.00333333333333333,0.04,0.00333333333333333,0.0333333333333333,0.379217996786288
"T016","BH","ST","1",493,86,1,2,1,0,54,0.0116279069767442,0.0116279069767442,0.0232558139534884,0,0.109533468559838
"T019","BH","DT","2",1022,166,3,2,9,19,1051,0.0180722891566265,0.0542168674698795,0.0120481927710843,0.114457831325301,1.02837573385519
"T019","BH","ST","1",583,110,1,0,1,17,112,0.00909090909090909,0.00909090909090909,0,0.154545454545455,0.192109777015437
"T021","BH","DT","3",1670,261,0,2,29,7,370,0,0.111111111111111,0.00766283524904215,0.0268199233716475,0.221556886227545
"T021","BH","ST","1",596,101,0,1,6,7,72,0,0.0594059405940594,0.0099009900990099,0.0693069306930693,0.120805369127517
"T031","IL","DT","4",1452,241,1,0,2,0,962,0.004149377593361,0.00829875518672199,0,0,0.662534435261708
"T031","IL","ST","2",640,112,0,0,0,13,122,0,0,0,0.116071428571429,0.190625
"T032","IL","DT","3",1090,173,0,2,9,13,891,0,0.0520231213872832,0.0115606936416185,0.0751445086705202,0.81743119266055
"T032","IL","ST","1",429,71,0,1,4,19,152,0,0.0563380281690141,0.0140845070422535,0.267605633802817,0.354312354312354
"T035","IL","DT","3",975,147,0,0,9,26,434,0,0.0612244897959184,0,0.17687074829932,0.445128205128205
"T035","IL","ST","1",481,85,0,0,6,0,59,0,0.0705882352941176,0,0,0.122661122661123
"T037","IL","DT","4",1987,316,0,5,2,43,668,0,0.00632911392405063,0.0158227848101266,0.136075949367089,0.336185203824862
"T037","IL","ST","1",558,93,0,0,1,6,126,0,0.010752688172043,0,0.0645161290322581,0.225806451612903
"T046","BL","DT","2",1313,221,4,6,12,7,1184,0.0180995475113122,0.0542986425339367,0.0271493212669683,0.0316742081447964,0.901751713632902
"T046","BL","ST","1",337,53,0,0,6,0,105,0,0.113207547169811,0,0,0.311572700296736
"T047","BL","DT","3",1240,205,1,2,15,14,500,0.0048780487804878,0.0731707317073171,0.00975609756097561,0.0682926829268293,0.403225806451613
"T047","BL","ST","1",686,123,1,1,3,5,61,0.00813008130081301,0.024390243902439,0.00813008130081301,0.040650406504065,0.0889212827988338
"T051","BL","DT","5",3784,634,2,5,26,25,658,0.00315457413249211,0.0410094637223975,0.00788643533123028,0.0394321766561514,0.173890063424947
"T051","BL","ST","2",733,123,0,0,5,4,47,0,0.040650406504065,0,0.032520325203252,0.0641200545702592
"T061","IH","DT","5",3002,520,1,2,12,1,1138,0.00192307692307692,0.0230769230769231,0.00384615384615385,0.00192307692307692,0.379080612924717
"T061","IH","ST","2",575,100,0,0,0,6,321,0,0,0,0.06,0.558260869565217
"T063","IH","DT","4",2365,380,0,1,10,0,1102,0,0.0263157894736842,0.00263157894736842,0,0.465961945031712
"T063","IH","ST","1",718,120,1,0,3,7,161,0.00833333333333333,0.025,0,0.0583333333333333,0.224233983286908
"T064","IH","DT","2",849,131,1,0,6,4,670,0.00763358778625954,0.0458015267175573,0,0.0305343511450382,0.789163722025913
"T064","IH","ST","1",416,72,1,0,0,16,127,0.0138888888888889,0,0,0.222222222222222,0.305288461538462
"T065","IH","DT","4",2222,370,0,1,7,0,552,0,0.0189189189189189,0.0027027027027027,0,0.248424842484248
"T065","IH","ST","3",1045,190,0,0,3,11,127,0,0.0157894736842105,0,0.0578947368421053,0.121531100478469
"T066","IH","DT","3",1634,289,2,2,6,0,1165,0.0069204152249135,0.0207612456747405,0.0069204152249135,0,0.71297429620563
"T066","IH","ST","1",569,98,0,1,0,6,103,0,0,0.0102040816326531,0.0612244897959184,0.181019332161687
"T068","IH","DT","5",3279,534,1,1,24,5,1235,0.00187265917602996,0.0449438202247191,0.00187265917602996,0.00936329588014981,0.376639219274169
"T068","IH","ST","3",1087,183,1,1,4,0,177,0.00546448087431694,0.0218579234972678,0.00546448087431694,0,0.162833486660534
"T077","BH","DT","4",2444,386,1,4,10,0,970,0.00259067357512953,0.0259067357512953,0.0103626943005181,0,0.396890343698854
"T077","BH","ST","2",708,119,0,2,2,8,214,0,0.0168067226890756,0.0168067226890756,0.0672268907563025,0.30225988700565
"T078","BH","DT","1",599,104,1,4,1,6,517,0.00961538461538462,0.00961538461538462,0.0384615384615385,0.0576923076923077,0.863105175292154
"T078","BH","ST","1",705,120,0,1,2,20,87,0,0.0166666666666667,0.00833333333333333,0.166666666666667,0.123404255319149
"T079","BH","DT","4",1493,234,0,0,4,12,1247,0,0.0170940170940171,0,0.0512820512820513,0.835231078365707
"T079","BH","ST","2",541,82,0,0,0,12,187,0,0,0,0.146341463414634,0.345656192236599
"T082","BH","DT","4",2450,391,0,4,11,22,1096,0,0.0281329923273657,0.010230179028133,0.0562659846547315,0.44734693877551
"T082","BH","ST","3",1021,155,0,1,3,36,166,0,0.0193548387096774,0.00645161290322581,0.232258064516129,0.16258570029383
"T083","BH","DT","4",1642,250,0,5,8,15,1247,0,0.032,0.02,0.06,0.759439707673569
"T083","BH","ST","3",845,140,0,0,0,0,275,0,0,0,0,0.325443786982249
"T084","BH","DT","5",3139,533,1,8,8,0,NA,0.00187617260787992,0.0150093808630394,0.0150093808630394,0,NA
"T084","BH","ST","3",938,146,0,0,2,19,NA,0,0.0136986301369863,0,0.13013698630137,NA
"T091","IL","DT","5",2610,429,0,6,24,12,829,0,0.0559440559440559,0.013986013986014,0.027972027972028,0.317624521072797
"T091","IL","ST","3",1197,218,1,0,4,7,114,0.00458715596330275,0.018348623853211,0,0.0321100917431193,0.0952380952380952
"T092","IL","DT","4",2172,373,1,4,14,35,NA,0.00268096514745308,0.0375335120643432,0.0107238605898123,0.0938337801608579,NA
"T092","IL","ST","2",783,133,0,3,1,20,NA,0,0.0075187969924812,0.0225563909774436,0.150375939849624,NA
"T093","IL","DT","4",1420,214,0,3,3,15,686,0,0.014018691588785,0.014018691588785,0.0700934579439252,0.483098591549296
"T093","IL","ST","2",494,74,0,0,3,16,65,0,0.0405405405405405,0,0.216216216216216,0.131578947368421
"T094","IL","DT","1",826,134,3,4,7,14,414,0.0223880597014925,0.0522388059701493,0.0298507462686567,0.104477611940299,0.501210653753027
"T094","IL","ST","2",599,104,0,0,1,3,60,0,0.00961538461538462,0,0.0288461538461538,0.10016694490818
"T096","IL","DT","4",2391,402,2,3,15,1,454,0.00497512437810945,0.0373134328358209,0.00746268656716418,0.00248756218905473,0.189878711836052
"T096","IL","ST","2",850,133,0,1,6,0,71,0,0.0451127819548872,0.0075187969924812,0,0.0835294117647059
"T098","IL","DT","4",2019,334,2,4,8,1,NA,0.00598802395209581,0.0239520958083832,0.0119760479041916,0.0029940119760479,NA
"T098","IL","ST","2",743,127,0,0,0,4,NA,0,0,0,0.031496062992126,NA
"T099","IL","DT","4",2112,338,1,0,19,9,335,0.0029585798816568,0.0562130177514793,0,0.0266272189349112,0.158617424242424
"T099","IL","ST","2",831,142,0,2,5,12,39,0,0.0352112676056338,0.0140845070422535,0.0845070422535211,0.0469314079422383
"T106","BL","DT","1",483,74,1,0,8,13,457,0.0135135135135135,0.108108108108108,0,0.175675675675676,0.946169772256729
"T106","BL","ST","2",591,105,0,0,0,23,61,0,0,0,0.219047619047619,0.10321489001692
"T112","BL","DT","1",150,22,1,0,0,0,1017,0.0454545454545455,0,0,0,6.78
"T112","BL","ST","1",243,44,0,0,1,5,207,0,0.0227272727272727,0,0.113636363636364,0.851851851851852
"T113","BL","DT","4",2209,364,1,0,10,21,466,0.00274725274725275,0.0274725274725275,0,0.0576923076923077,0.210955183340878
"T113","BL","ST","2",651,106,0,0,4,15,82,0,0.0377358490566038,0,0.141509433962264,0.125960061443932
"T114","BL","DT","5",2760,466,1,1,12,1,1210,0.00214592274678112,0.0257510729613734,0.00214592274678112,0.00214592274678112,0.438405797101449
"T114","BL","ST","3",1044,188,0,0,2,1,165,0,0.0106382978723404,0,0.00531914893617021,0.158045977011494
"T121","IH","DT","5",3317,494,0,2,8,1,703,0,0.0161943319838057,0.00404858299595142,0.00202429149797571,0.211938498643352
"T121","IH","ST","1",576,103,0,1,0,12,80,0,0,0.00970873786407767,0.116504854368932,0.138888888888889
"T122","IH","DT","4",1564,256,0,4,7,9,NA,0,0.02734375,0.015625,0.03515625,NA
"T122","IH","ST","2",758,132,0,0,2,0,NA,0,0.0151515151515152,0,0,NA
"T124","IH","DT","4",1602,256,1,1,4,1,NA,0.00390625,0.015625,0.00390625,0.00390625,NA
"T124","IH","ST","2",623,109,0,0,0,6,NA,0,0,0,0.055045871559633,NA
"T126","IH","DT","5",3448,553,4,10,18,1,1462,0.00723327305605787,0.0325497287522604,0.0180831826401447,0.00180831826401447,0.424013921113689
"T126","IH","ST","2",761,126,2,1,4,4,170,0.0158730158730159,0.0317460317460317,0.00793650793650794,0.0317460317460317,0.223390275952694
"T128","IH","DT","3",1380,222,0,0,8,0,717,0,0.036036036036036,0,0,0.519565217391304
"T128","IH","ST","2",666,117,0,0,0,23,211,0,0,0,0.196581196581197,0.316816816816817
"T130","IH","DT","5",3171,526,2,1,17,6,1335,0.00380228136882129,0.032319391634981,0.00190114068441065,0.0114068441064639,0.421002838221381
"T130","IH","ST","3",1208,190,2,0,2,1,243,0.0105263157894737,0.0105263157894737,0,0.00526315789473684,0.201158940397351
"T132","IH","DT","5",3605,585,2,4,4,1,934,0.00341880341880342,0.00683760683760684,0.00683760683760684,0.00170940170940171,0.259084604715673
"T132","IH","ST","3",1399,222,0,1,4,12,91,0,0.018018018018018,0.0045045045045045,0.0540540540540541,0.0650464617583989
"T138","BH","DT","4",1791,281,0,1,2,16,1062,0,0.00711743772241993,0.00355871886120996,0.0569395017793594,0.592964824120603
"T138","BH","ST","3",1104,178,1,1,1,10,192,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.0561797752808989,0.173913043478261
"T139","BH","DT","3",1013,165,0,4,6,1,NA,0,0.0363636363636364,0.0242424242424242,0.00606060606060606,NA
"T139","BH","ST","2",761,125,1,1,1,4,NA,0.008,0.008,0.008,0.032,NA
"T141","BH","DT","3",1206,186,0,1,7,0,1046,0,0.0376344086021505,0.00537634408602151,0,0.867330016583748
"T141","BH","ST","3",732,116,0,0,3,13,127,0,0.0258620689655172,0,0.112068965517241,0.173497267759563
"T144","BH","DT","3",1107,180,0,1,9,11,1500,0,0.05,0.00555555555555556,0.0611111111111111,1.3550135501355
"T144","BH","ST","3",997,168,0,0,3,19,192,0,0.0178571428571429,0,0.113095238095238,0.192577733199599
"T145","BH","DT","5",3039,505,0,1,12,0,1684,0,0.0237623762376238,0.00198019801980198,0,0.554129647910497
"T145","BH","ST","2",633,101,0,0,0,7,213,0,0,0,0.0693069306930693,0.336492890995261
"T151","IL","DT","4",2122,376,3,0,8,31,969,0.00797872340425532,0.0212765957446809,0,0.0824468085106383,0.456644674835061
"T151","IL","ST","2",849,150,0,2,3,4,137,0,0.02,0.0133333333333333,0.0266666666666667,0.161366313309776
"T152","IL","DT","5",2942,474,3,2,12,12,996,0.00632911392405063,0.0253164556962025,0.00421940928270042,0.0253164556962025,0.338545207341944
"T152","IL","ST","3",1122,180,1,0,2,26,131,0.00555555555555556,0.0111111111111111,0,0.144444444444444,0.116755793226381
"T154","IL","DT","4",1727,267,1,2,12,15,1382,0.00374531835205993,0.0449438202247191,0.00749063670411985,0.0561797752808989,0.80023161551824
"T154","IL","ST","3",1230,210,1,1,1,0,263,0.00476190476190476,0.00476190476190476,0.00476190476190476,0,0.213821138211382
"T156","IL","DT","3",1279,203,1,1,7,6,395,0.00492610837438424,0.0344827586206897,0.00492610837438424,0.0295566502463054,0.308835027365129
"T156","IL","ST","1",431,69,0,1,0,4,25,0,0,0.0144927536231884,0.0579710144927536,0.0580046403712297
"T157","IL","DT","4",2402,356,1,2,9,51,638,0.00280898876404494,0.0252808988764045,0.00561797752808989,0.143258426966292,0.265611990008326
"T157","IL","ST","2",788,110,2,2,4,0,91,0.0181818181818182,0.0363636363636364,0.0181818181818182,0,0.115482233502538
"T162","IL","DT","5",3106,538,0,3,7,1,1000,0,0.0130111524163569,0.00557620817843866,0.00185873605947955,0.321957501609788
"T162","IL","ST","2",611,100,0,1,0,6,93,0,0,0.01,0.06,0.152209492635025
"T166","BL","DT","4",2379,375,2,1,10,0,1162,0.00533333333333333,0.0266666666666667,0.00266666666666667,0,0.488440521227406
"T166","BL","ST","3",1036,168,1,0,1,0,150,0.00595238095238095,0.00595238095238095,0,0,0.144787644787645
"T172","BL","DT","3",1027,165,0,0,3,6,NA,0,0.0181818181818182,0,0.0363636363636364,NA
"T172","BL","ST","1",521,97,0,1,0,0,NA,0,0,0.0103092783505155,0,NA
"T173","BL","DT","6",4303,678,0,0,10,19,785,0,0.0147492625368732,0,0.028023598820059,0.18243086218917
"T173","BL","ST","3",1358,232,0,2,2,7,120,0,0.00862068965517241,0.00862068965517241,0.0301724137931034,0.0883652430044183
"T174","BL","DT","4",2331,374,0,2,8,11,647,0,0.0213903743315508,0.0053475935828877,0.0294117647058824,0.277563277563278
"T174","BL","ST","2",811,128,1,1,2,17,101,0.0078125,0.015625,0.0078125,0.1328125,0.124537607891492
"T175","BL","DT","5",2434,404,0,1,14,1,651,0,0.0346534653465347,0.00247524752475248,0.00247524752475248,0.267460969597371
"T175","BL","ST","2",1000,164,1,1,2,12,231,0.00609756097560976,0.0121951219512195,0.00609756097560976,0.0731707317073171,0.231
"T176","BL","DT","4",2514,442,1,4,18,1,515,0.00226244343891403,0.0407239819004525,0.00904977375565611,0.00226244343891403,0.204852824184566
"T176","BL","ST","1",661,113,0,2,6,8,103,0,0.0530973451327434,0.0176991150442478,0.0707964601769911,0.155824508320726
"T178","BL","DT","5",3319,538,0,4,13,20,647,0,0.0241635687732342,0.00743494423791822,0.0371747211895911,0.194938234407954
"T178","BL","ST","2",773,127,0,2,0,4,74,0,0,0.015748031496063,0.031496062992126,0.0957309184993532
