Subject,Unused,GoodSubject,BadSubject,ConsentVideoDummy
T001,1,,,
T002,1,,,
T003,,1,,
T004,1,,,
T005,,1,,1
T006,,,1,1
T007,1,,,
T008,1,,,
T009,,1,,
T010,1,,,
T011,,1,,
T012,1,,,
T013,1,,,
T014,1,,,
T015,1,,,
T016,,1,,1
T017,1,,,
T018,1,,,
T019,,1,,
T020,1,,,
T021,,1,,1
T022,1,,,
T023,,,1,1
T024,1,,,
T025,1,,,
T026,1,,,
T027,1,,,
T028,1,,,
T029,1,,,
T030,1,,,
T031,,1,,
T032,,1,,
T033,1,,,
T034,1,,,
T035,,1,,
T036,1,,,
T037,,1,,
T038,1,,,
T039,1,,,
T040,1,,,
T041,1,,,
T042,1,,,
T043,1,,,
T044,1,,,
T045,1,,,
T046,,1,,
T047,,1,,1
T048,1,,,
T049,1,,,
T050,1,,,
T051,,1,,1
T052,1,,,
T053,1,,,
T054,1,,,
T055,1,,,
T056,1,,,
T057,1,,,
T058,1,,,
T059,1,,,
T060,1,,,
T061,,1,,
T062,,,1,
T063,,1,,
T064,,1,,
T065,,1,,
T066,,1,,
T067,,,1,
T068,,1,,
T069,1,,,
T070,1,,,
T071,1,,,
T072,1,,,
T073,1,,,
T074,1,,,
T075,1,,,
T076,,,1,
T077,,1,,
T078,,1,,
T079,,1,,
T080,,,1,
T081,,,1,
T082,,1,,
T083,,1,,
T084,,1,,
T085,,1,,
T086,1,,,
T087,1,,,
T088,1,,,
T089,1,,,
T090,1,,,
T091,,1,,
T092,,1,,
T093,,1,,
T094,,1,,
T095,,,1,
T096,,1,,
T097,,,1,
T098,,1,,
T099,,1,,
T100,,,1,
T101,1,,,
T102,1,,,
T103,1,,,
T104,1,,,
T105,1,,,
T106,,1,,
T107,,,1,
T108,,,1,
T109,,,1,
T110,,,1,
T111,,,1,
T112,,1,,
T113,,1,,
T114,,1,,
T115,1,,,
T116,1,,,
T117,1,,,
T118,1,,,
T119,1,,,
T120,1,,,
T121,,1,,
T122,,1,,
T123,1,,,
T124,,1,,
T125,1,,,
T126,,1,,
T127,,,1,
T128,,1,,
T129,1,,,
T130,,1,,
T131,1,,,
T132,,1,,
T133,,,1,
T134,1,,,
T135,1,,,
T136,,,1,
T137,1,,,
T138,,1,,
T139,,1,,
T140,,,1,
T141,,1,,
T142,,,1,
T143,1,,,
T144,,1,,
T145,,1,,
T146,,,1,
T147,1,,,
T148,,,1,
T149,1,,,
T150,1,,,
T151,,1,,
T152,,1,,
T153,,,1,
T154,,1,,
T155,,,1,
T156,,1,,
T157,,1,,
T158,,,1,
T159,1,,,
T160,,,1,
T161,1,,,
T162,,1,,
T163,1,,,
T164,1,,,
T165,1,,,
T166,,1,,
T167,,,1,
T168,,,1,
T169,,,1,
T170,,,1,
T171,,,1,
T172,,1,,
T173,,1,,
T174,,1,,
T175,,1,,
T176,,1,,
T177,1,,,
T178,,1,,
T179,1,,,
T180,,,1,